,repo,categ,flag
0,donnemartin/system-design-primer,education,
1,TheAlgorithms/Python,education,
2,jackfrued/Python-100-Days,education,
3,ytdl-org/youtube-dl,web,
4,nvbn/thefuck,shell,
5,django/django,development,
6,keras-team/keras,ML,
7,httpie/httpie,development,
8,ansible/ansible,development,
9,scikit-learn/scikit-learn,ML,
10,psf/requests,development,
11,huggingface/transformers,ML,
12,home-assistant/core,development,
13,scrapy/scrapy,web,
14,soimort/you-get,web,
15,ageitgey/face_recognition,ML,
16,apache/superset,data,
17,python/cpython,python,
18,deepfakes/faceswap,ML,
19,3b1b/manim,utility,
20,XX-net/XX-Net,utility,x
21,isocpp/CppCoreGuidelines,education,
22,apachecn/AiLearning,ML,
23,pandas-dev/pandas,data,
24,certbot/certbot,development,
25,getsentry/sentry,development,x
26,google-research/bert,ML,
27,satwikkansal/wtfpython,education,x
28,fxsjy/jieba,chinese,
29,iperov/DeepFaceLab,ML,
30,willmcgugan/rich,utility,mega X
31,sherlock-project/sherlock,web,x
32,facebookresearch/Detectron,ML,
33,chubin/cheat.sh,education,
34,openai/gym,ML,
35,CorentinJ/Real-Time-Voice-Cloning,ML,mega X
36,swisskyrepo/PayloadsAllTheThings,data,
37,d2l-ai/d2l-zh,chinese,
38,ycm-core/YouCompleteMe,utility,
39,hankcs/HanLP,ML,x
40,docker/compose,development,
41,geekcomputers/Python,education,
42,mitmproxy/mitmproxy,development,
43,gto76/python-cheatsheet,education,x
44,pypa/pipenv,utility,mega x
45,littlecodersh/ItChat,web,
46,apache/airflow,development,
47,donnemartin/data-science-ipython-notebooks,data,
48,explosion/spaCy,ML,
49,sqlmapproject/sqlmap,security,x
50,matterport/Mask_RCNN,ML,
51,eriklindernoren/ML-From-Scratch,ML,
52,google/python-fire,utility,x
53,getredash/redash,data,x
54,wangzheng0822/algo,chinese,
55,tqdm/tqdm,utility,
56,beurtschipper/Depix,utility,
57,StevenBlack/hosts,utility,
58,celery/celery,development,
59,numpy/numpy,development,
60,magenta/magenta,ML,
61,deezer/spleeter,ML,
62,facebookresearch/detectron2,ML,
63,pytorch/examples,ML,
64,locustio/locust,development,
65,reddit-archive/reddit,data,
66,jumpserver/jumpserver,chinese,
67,ray-project/ray,development,x
68,bokeh/bokeh,data,
69,binux/pyspider,development,
70,sanic-org/sanic,development,x
71,PaddlePaddle/Paddle,ML,
72,chubin/wttr.in,utility,
73,tzutalin/labelImg,data,
74,quantopian/zipline,utility,
75,matplotlib/matplotlib,data,
76,zulip/zulip,utility,
77,mingrammer/diagrams,utility,
78,Kr1s77/awesome-python-login-model,chinese,
79,PyTorchLightning/pytorch-lightning,ML,x
80,kivy/kivy,development,x
81,Jack-Cherish/python-spider,chinese,
82,fabric/fabric,utility,x
83,timgrossmann/InstaPy,utility,
84,facebook/prophet,data,
85,powerline/powerline,utility,
86,wting/autojump,utility,x
87,mnielsen/neural-networks-and-deep-learning,ML,
88,google/jax,ML,
89,rsms/inter,data,
90,magic-wormhole/magic-wormhole,utility,x
91,mkdocs/mkdocs,development,x
92,RaRe-Technologies/gensim,ML,
93,PaddlePaddle/PaddleOCR,ML,
94,Eloston/ungoogled-chromium,utility,
95,pytorch/fairseq,ML,x
96,psf/requests-html,utility,
97,davidsandberg/facenet,ML,
98,saltstack/salt,development,
99,google/yapf,chinese,
100,pjialin/py12306,chinese,
101,JaidedAI/EasyOCR,ML,
102,RasaHQ/rasa,ML,x
103,tensorflow/tensor2tensor,ML,
104,horovod/horovod,ML,x
105,aio-libs/aiohttp,development,
106,gunthercox/ChatterBot,ML,
107,NVlabs/stylegan,ML,
108,codelucas/newspaper,data,
109,aws/aws-cli,development,
110,meolu/walle-web,chinese,
111,pyecharts/pyecharts,data,x
112,rusty1s/pytorch_geometric,ML,
113,wagtail/wagtail,development,
114,getpelican/pelican,development,x
115,ultralytics/yolov5,ML,
116,SFTtech/openage,game,
117,flairNLP/flair,ML,x
118,ShangtongZhang/reinforcement-learning-an-introduction,ML,
119,apprenticeharper/DeDRM_tools,utility,
120,mail-in-a-box/mailinabox,utility,
121,tflearn/tflearn,ML,mega x
122,ranger/ranger,utility,
123,dbcli/pgcli,chinese,
124,microsoft/recommenders,education,
125,microsoft/nni,ML,
126,mxrch/GHunt,utility,x
127,threat9/routersploit,security,
128,andymccurdy/redis-py,development,
129,nbedos/termtosvg,utility,
130,asciinema/asciinema,utility,
131,Rochester-NRT/RocAlphaGo,ML,
132,eriklindernoren/PyTorch-GAN,ML,
133,MorvanZhou/tutorials,education,
134,zalandoresearch/fashion-mnist,data,
135,deepinsight/insightface,ML,
136,networkx/networkx,utility,mega x
137,mlflow/mlflow,ML,
