Unnamed: 0,code,symbol,is_pitfall
0,C0102,blacklisted-name,
1,C0103,invalid-name,1.0
2,C0104,disallowed-name,0.0
3,C0112,empty-docstring,0.0
4,C0113,unneeded-not,1.0
5,C0114,missing-module-docstring,0.0
6,C0115,missing-class-docstring,0.0
7,C0116,missing-function-docstring,0.0
8,C0121,singleton-comparison,1.0
9,C0122,misplaced-comparison-constant,0.0
10,C0123,unidiomatic-typecheck,1.0
11,C0144,non-ascii-name,
12,C0200,consider-using-enumerate,1.0
13,C0201,consider-iterating-dictionary,0.0
14,C0202,bad-classmethod-argument,
15,C0203,bad-mcs-method-argument,1.0
16,C0204,bad-mcs-classmethod-argument,1.0
17,C0205,single-string-used-for-slots,1.0
18,C0206,consider-using-dict-items,0.0
19,C0207,use-maxsplit-arg,0.0
20,C0301,line-too-long,1.0
21,C0302,too-many-lines,1.0
22,C0303,trailing-whitespace,0.0
23,C0304,missing-final-newline,0.0
24,C0305,trailing-newlines,0.0
25,C0321,multiple-statements,1.0
26,C0325,superfluous-parens,1.0
27,C0326,bad-whitespace,
28,C0327,mixed-line-endings,
29,C0328,unexpected-line-ending-format,
30,C0330,bad-continuation,
31,C0401,wrong-spelling-in-comment,
32,C0402,wrong-spelling-in-docstring,
33,C0403,invalid-characters-in-docstring,
34,C0410,multiple-imports,0.0
35,C0411,wrong-import-order,0.0
36,C0412,ungrouped-imports,0.0
37,C0413,wrong-import-position,1.0
38,C0414,useless-import-alias,1.0
39,C0415,import-outside-toplevel,1.0
40,C1801,len-as-condition,1.0
41,E0001,syntax-error,0.0
42,E0011,unrecognized-inline-option,0.0
43,E0012,bad-option-value,0.0
44,E0013,bad-plugin-value,0.0
45,E0100,init-is-generator,0.0
46,E0101,return-in-init,0.0
47,E0102,function-redefined,0.0
48,E0103,not-in-loop,0.0
49,E0104,return-outside-function,0.0
50,E0105,yield-outside-function,0.0
51,E0107,nonexistent-operator,0.0
52,E0108,duplicate-argument-name,0.0
53,E0110,abstract-class-instantiated,0.0
54,E0111,bad-reversed-sequence,0.0
55,E0112,too-many-star-expressions,0.0
56,E0113,invalid-star-assignment-target,0.0
57,E0114,star-needs-assignment-target,0.0
58,E0115,nonlocal-and-global,0.0
59,E0117,nonlocal-without-binding,0.0
60,E0118,used-prior-global-declaration,0.0
61,E0119,misplaced-format-function,0.0
62,E0202,method-hidden,0.0
63,E0203,access-member-before-definition,0.0
64,E0211,no-method-argument,0.0
65,E0213,no-self-argument,0.0
66,E0236,invalid-slots-object,0.0
67,E0237,assigning-non-slot,0.0
68,E0238,invalid-slots,0.0
69,E0239,inherit-non-class,0.0
70,E0240,inconsistent-mro,0.0
71,E0241,duplicate-bases,0.0
72,E0242,class-variable-slots-conflict,0.0
73,E0243,invalid-class-object,0.0
74,E0301,non-iterator-returned,0.0
75,E0302,unexpected-special-method-signature,0.0
76,E0303,invalid-length-returned,0.0
77,E0304,invalid-bool-returned,0.0
78,E0305,invalid-index-returned,0.0
79,E0306,invalid-repr-returned,0.0
80,E0307,invalid-str-returned,0.0
81,E0308,invalid-bytes-returned,0.0
82,E0309,invalid-hash-returned,0.0
83,E0310,invalid-length-hint-returned,0.0
84,E0311,invalid-format-returned,0.0
85,E0312,invalid-getnewargs-returned,0.0
