,code,message,is_pitfall,obs
0,C0102,"Black listed name ""%s""",0,
1,C0103,"Invalid %s name ""%s""",1,
2,C0111,Missing %s docstring,0,
3,C0112,Empty %s docstring,0,
4,C0121,"Missing required attribute ""%s""",0,
5,C0202,Class method %s should have cls as first argument,0,
6,C0203,Metaclass method %s should have mcs as first argument,0,
7,C0204,Metaclass class method %s should have %s as first argument,0,
8,C0301,Line too long (%s/%s),1,
9,C0302,Too many lines in module (%s),1,
10,C0303,Trailing whitespace,0,
11,C0304,Final newline missing,0,
12,C0321,More than one statement on a single line,1,
13,C0322,Old: Operator not preceded by a space,0,
14,C0323,Old: Operator not followed by a space,0,
15,C0324,Old: Comma not followed by a space,0,
16,C0325,Unnecessary parens after %r keyword,0,
17,C0326,%s space %s %s %s\n%s,0,
18,C1001,Old-style class defined.,0,
95,R0201,Method could be a function,0,
96,R0401,Cyclic import (%s),1,
97,R0801,Similar lines in %s files,1,
98,R0901,Too many ancestors (%s/%s),1,
99,R0902,Too many instance attributes (%s/%s),1,
100,R0903,Too few public methods (%s/%s),0,
101,R0904,Too many public methods (%s/%s),1,
102,R0911,Too many return statements (%s/%s),1,Uncle Bob discorda parcialmente
103,R0912,Too many branches (%s/%s),1,
104,R0913,Too many arguments (%s/%s),0,
105,R0914,Too many local variables (%s/%s),0,
106,R0915,Too many statements (%s/%s),0,
107,R0921,Abstract class not referenced,0,
108,R0922,Abstract class is only referenced %s times,0,
109,R0923,Interface not implemented,0,
110,W0101,Unreachable code,0,
111,W0102,Dangerous default value %s as argument,1,Default mutable
112,W0104,Statement seems to have no effect,,
113,W0105,String statement has no effect,,
114,W0106,"Expression ""%s"" is assigned to nothing",,
115,W0107,Unnecessary pass statement,,
116,W0108,Lambda may not be necessary,,
117,W0109,Duplicate key %r in dictionary,,
118,W0110,map/filter on lambda could be replaced by comprehension,,
119,W0120,Else clause on loop without a break statement,,
120,W0121,Use raise ErrorClass(args) instead of raise ErrorClass args.,,
121,W0122,Use of exec,,
122,W0141,Used builtin function %r,,
123,W0142,Used * or ** magic,,
124,W0150,%s statement in finally block may swallow exception,,
125,W0199,Assert called on a 2-uple. Did you mean \'assert xy\'?,,
126,W0201,Attribute %r defined outside __init__,,
127,W0211,Static method with %r as first argument,,
128,W0212,Access to a protected member %s of a client class,,
129,W0221,Arguments number differs from %s method,,
130,W0222,Signature differs from %s method,,
131,W0223,Method %r is abstract in class %r but is not overridden,,
132,W0231,__init__ method from base class %r is not called,,
133,W0232,Class has no __init__ method,,
134,W0233,__init__ method from a non direct base class %r is called,,
135,W0234,iter returns non-iterator,,
136,W0301,Unnecessary semicolon,,
137,W0311,Bad indentation. Found %s %s expected %s,,
138,W0312,Found indentation with %ss instead of %ss,,
139,W0331,Use of the <> operator,,
140,W0332,"Use of ""l"" as long integer identifier",,
141,W0333,Use of the `` operator,,
142,W0401,Wildcard import %s,,
143,W0402,Uses of a deprecated module %r,,
144,W0403,Relative import %r should be %r,,
145,W0404,Reimport %r (imported line %s),,
146,W0406,Module import itself,,
147,W0410,__future__ import is not the first non docstring statement,,
148,W0511,(warning notes in code comments; message varies),,
149,W0512,"Cannot decode using encoding ""%s"" unexpected byte at position %d",,
150,W0601,Global variable %r undefined at the module level,,
151,W0602,Using global for %r but no assigment is done,,
152,W0603,Using the global statement,,
153,W0604,Using the global statement at the module level,,
154,W0611,Unused import %s,,
155,W0612,Unused variable %r,,
156,W0613,Unused argument %r,,
157,W0614,Unused import %s from wildcard import,,
158,W0621,Redefining name %r from outer scope (line %s),,
159,W0622,Redefining built-in %r,,
160,W0623,Redefining name %r from %s in exception handler,,
161,W0631,Using possibly undefined loop variable %r,,
162,W0632,Possible unbalanced tuple unpacking with sequence%s: …,,
163,W0633,Attempting to unpack a non-sequence%s,,
164,W0701,Raising a string exception,,
165,W0702,No exception type(s) specified,,
166,W0703,Catching too general exception %s,,
167,W0704,Except doesn't do anything,,
168,W0710,"Exception doesn't inherit from standard ""Exception"" class",,
169,W0711,"Exception to catch is the result of a binary ""%s"" operation",,
170,W0712,Implicit unpacking of exceptions is not supported in Python 3,,
171,W1001,"Use of ""property"" on an old style class",,
172,W1111,Assigning to function call which only returns None,,
173,W1201,Specify string format arguments as logging function parameters,,
174,W1300,Format string dictionary key should be a string not %s,,
175,W1301,Unused key %r in format string dictionary,,
176,W1401,Anomalous backslash in string: \'%s\'.,,
177,W1402,Anomalous Unicode escape in byte string:,,
178,W1501,is not a valid mode for open.,,
179,RP0001,Messages by category,,
180,RP0002,errors / warnings by module,,
181,RP0003,Messages,,
182,RP0004,Global evaluation,,
183,RP0101,Statistics by type,,
184,RP0401,External dependencies,,
185,RP0402,Modules dependencies graph,,
186,RP0701,Raw metrics,,
187,RP0801,Duplication,,
