repo,stargazers,pitfalls
biolab/orange3,2917,9
polyaxon/polyaxon,2918,0
maxcountryman/flask-login,2919,4
commixproject/commix,2921,1
joshua-wu/deepfakes_faceswap,2922,2
martinarjovsky/WassersteinGAN,2933,2
mitre/caldera,2936,0
nidhaloff/igel,2939,0
Lyken17/pytorch-OpCounter,2939,1
tamarott/SinGAN,2940,26
joestump/python-oauth2,2942,1
Ganapati/RsaCtfTool,2944,8
skywind3000/ECDICT,2944,21
P0cL4bs/WiFi-Pumpkin-deprecated,2950,0
plasma-disassembler/plasma,2951,0
SublimeText-Markdown/MarkdownEditing,2954,0
boltgolt/howdy,2957,0
Latitude-Archives/AIDungeon,2959,10
tensorflow/hub,2959,0
databricks/koalas,2963,1
wechatpy/wechatpy,2963,0
golemfactory/clay,2963,0
DropsDevopsOrg/ECommerceCrawlers,2964,0
ZiniuLu/Python-100-Days,2966,0
kstenerud/iOS-Universal-Framework,2969,0
thearn/webcam-pulse-detector,2969,1
KaiyangZhou/deep-person-reid,2970,0
bytedance/byteps,2975,3
Overv/outrun,2975,0
locuslab/TCN,2976,0
bisguzar/twitter-scraper,2978,0
midgetspy/Sick-Beard,2978,0
hhyo/Archery,2985,0
blaze/blaze,2989,12
what-studio/profiling,2992,0
AceLewis/my_first_calculator.py,2993,3
fivesheep/chnroutes,2995,0
INTERMT/Awesome-PyTorch-Chinese,3003,0
wzpan/wukong-robot,3007,9
tensorflow/datasets,3008,0
cemoody/lda2vec,3010,0
pythonguis/15-minute-apps,3013,0
trustedsec/unicorn,3013,14
kimiyoung/transformer-xl,3017,4
facebookresearch/ReAgent,3021,0
bijection/sistine,3021,6
spulec/freezegun,3022,0
rbgirshick/fast-rcnn,3023,0
spotify/chartify,3023,1
qiwsir/algorithm,3024,1
TachibanaYoshino/AnimeGAN,3027,25
tensorforce/tensorforce,3031,1
the0demiurge/ShadowSocksShare,3035,1
lorenzodifuccia/safaribooks,3038,14
sloria/doitlive,3040,0
quantumlib/Cirq,3041,2
ifzhang/FairMOT,3043,0
mantl/mantl,3044,0
open-mmlab/mmcv,3044,0
aaPanel/BaoTa,3045,10
rembo10/headphones,3047,0
elceef/dnstwist,3048,16
llSourcell/learn_math_fast,3048,1
JuanPotato/Legofy,3048,0
django-guardian/django-guardian,3049,1
chrissimpkins/Crunch,3050,0
