
uestion,answer,percent,response,correct
4,I strongly prefer A,12.0,6,False
4,I prefer A,10.0,5,False
4,Indifferent,4.0,2,False
4,I strongly prefer B,48.0,24,True
4,I prefer B,26.0,13,True
4,I do not know,0.0,0,False
5,I strongly prefer A,12.0,6,False
5,I prefer A,12.0,6,False
5,Indifferent,0.0,0,False
5,I strongly prefer B,58.0,29,True
5,I prefer B,18.0,9,True
5,I do not know,0.0,0,False
6,I strongly prefer A,12.0,6,False
6,I prefer A,4.0,2,False
6,Indifferent,6.0,3,False
6,I strongly prefer B,50.0,25,True
6,I prefer B,26.0,13,True
6,I do not know,2.0,1,False
7,I strongly prefer A,74.0,37,True
7,I prefer A,10.0,5,True
7,Indifferent,0.0,0,False
7,I strongly prefer B,6.0,3,False
7,I prefer B,4.0,2,False
7,I do not know,6.0,3,False
8,I strongly prefer A,6.0,3,False
8,I prefer A,12.0,6,False
8,Indifferent,0.0,0,False
8,I strongly prefer B,74.0,37,True
8,I prefer B,8.0,4,True
8,I do not know,0.0,0,False
9,I strongly prefer A,26.0,13,False
9,I prefer A,16.0,8,False
9,Indifferent,4.0,2,False
9,I strongly prefer B,40.0,20,True
9,I prefer B,10.0,5,True
9,I do not know,4.0,2,False
10,I strongly prefer A,6.0,3,False
10,I prefer A,6.0,3,False
10,Indifferent,6.0,3,False
10,I strongly prefer B,40.0,20,True
10,I prefer B,40.0,20,True
10,I do not know,2.0,1,False
11,I strongly prefer A,6.0,3,False
11,I prefer A,6.0,3,False
11,Indifferent,12.0,6,False
11,I strongly prefer B,52.0,26,True
11,I prefer B,18.0,9,True
11,I do not know,6.0,3,False
12,I strongly prefer A,64.0,32,False
12,I prefer A,30.0,15,True
12,Indifferent,2.0,1,True
12,I strongly prefer B,4.0,2,False
12,I prefer B,0.0,0,False
12,I do not know,0.0,0,False
